ip_addr,amount_of_total_traffic,protocol,amount_of_traffic_for_specific_protocol,source_port,amount_for_spec_source_port,destination_port,amount_for_spec_destination_port
147.32.80.13,114682057,6,113995003,80,113205544,10885,105681736
205.196.123.103,84306631,6,84306631,80,84306631,1714,84306631
147.32.85.103,34011735,6,34010348,49317,33933768,22,33933768
209.85.149.141,17022600,6,17022600,80,17022600,57717,4963022
195.113.232.91,12576824,6,12576824,80,12575857,49296,4923843
94.124.104.196,11886368,6,11886368,80,11886368,49504,5382092
147.32.84.2,9903506,6,9902923,80,9887437,62614,5505461
147.32.84.229,7987983,17,5885063,13363,6945590,59656,50217
87.248.203.254,6724441,6,6724441,80,6724441,49918,4247739
109.183.212.236,6394424,6,6394424,61775,6394424,20,6394424
